route name,sector name,grade,ascents,stars
t'asllomaras,Cabrerizo,6B,20,2
Cab-B3-L1,Cabrerizo,6C,20,3
Vuelo sin motor,Unknown Crag,7A,20,3
El Plus del Autobus (sit),La fuente,7B,20,5
El reposo gaseoso,La fuente,7A,20,3
Arr-B18-L3,Arrastradero,5C,20,2
tanca la porta,Cabrerizo,6B,20,3
aerofagia,Arrastradero,7A,20,3
PSI-B3-L12,Psicokiller,6C+,20,4
CAB-B11-L2,Cabrerizo,6A+,20,2
ARR-B39-L2,Arrastradero,6B,20,1
El ejecutor,Sector Arrastradero,7A,19,3
El Mito de La Caverna,Peninsula,7C,19,4
DON PEPO,Cabrerizo,7B,19,4
Sin porros,Techos,7C,19,4
TMA-B15-L3,Tierra media,7A+,19,4
Atreyu,Arrastradero,7C,19,4
La rave,Unknown Crag,7A,19,3
Que va tio,Tierra media,6B,19,4
ARR-B18-L8,Arrastradero,5B,19,3
ENA-B11-L3,Entre aguas,7A,19,4
El afilador de cantos,Parking,7A+,19,2
CAB-B7-L1,Cabrerizo,4A,19,4
Tma-b15-l1,Tierra media,6C+,19,4
TEC-B19-L6,Techos,6C,19,3
TEC-B32-L4,Techos,7A,19,3
TMA-B12-L2,Tierra media,6C+,19,3
Los pequeñeques,Parking,3B,19,5
Los Pitufos,Parking,3B,19,3
ENA-B34-L1,Entre aguas,6C,19,2
Listén bajo,La fuente,4B,19,3
El papion,Parking,7C,19,3
ENA-B1-L9,Entre aguas,6A,19,4
Profundo,Arrastradero,7B,19,5
El principio de Heissenberg,La fuente,6B+,19,3
Moderdonia,Parking,6A+,19,4
Lancelot,Tierra media,7A,19,3
Supersit,Parking,7A,19,4
ARR-B18-L7,Arrastradero,5B,19,4
La vida,Cabrerizo,5B,18,3
Psicokiller,Unknown Crag,7A+,18,5
N.N.,El Sol,6C,18,4
Lolo de Puçol,La fuente,4B,18,5
Pez fugu,Cabrerizo,6B+,18,3
Haz el favor,Tierra media,6B,18,4
La vida,Cabrerizo,5B,18,3
Psicokiller,Unknown Crag,7A+,18,4
N.N.,El Sol,6C,18,4
Seiscerrado,Unknown Crag,6B+,18,3
El ejecutor Sit,Arrastradero,7A+,18,5
Rocio,Arrastradero,7B+,18,4
Mardi Gras,Arrastradero,7B+,18,3
kortatu,La fuente,5A,18,3
La letrina direct,Parking,6C,18,3
el rompehombros,Techos,7A+,18,4
ARR-B36-L3,Arrastradero,7B+,18,3
Dr. Zoiberg,La fuente,7B,18,2
El Marrano,Unknown Crag,7C,18,4
PAR-B19-L1,Parking,6A,18,3
Arista Ivàn (sit),Arrastradero,7A,18,4
